event_id,timestamp,user_id,user_timeline_step,table_accessed,query_type,rows_returned,after_hours_access,sensitive_data_access,failed_login_attempt,total_queries_session,data_exfiltration_pattern,unusual_query_flag
35,2026-03-04 07:07:00,user_02,10,finance,DELETE,71,1,1,0,16,0,0
51,2026-03-05 03:49:00,user_02,26,orders,SELECT,48,1,0,0,17,0,0
48,2026-03-07 01:25:00,user_02,23,transactions,SELECT,6,1,1,0,15,0,0
28,2026-03-07 08:50:00,user_02,3,hr_data,SELECT,64,0,0,0,13,0,0
27,2026-03-08 01:17:00,user_02,2,orders,SELECT,47,1,0,0,14,0,0
33,2026-03-08 08:56:00,user_02,8,customers,SELECT,109,0,0,0,15,0,0
38,2026-03-10 10:54:00,user_02,13,hr_data,SELECT,68,0,0,0,6,0,0
46,2026-03-10 12:53:00,user_02,21,salary,UPDATE,496,1,1,0,37,1,1
44,2026-03-10 15:18:00,user_02,19,customers,SELECT,100,0,0,0,18,0,0
45,2026-03-11 00:19:00,user_02,20,orders,UPDATE,400,1,1,1,28,1,1
42,2026-03-12 10:06:00,user_02,17,customers,SELECT,54,0,0,0,16,0,0
39,2026-03-13 03:39:00,user_02,14,inventory,SELECT,321,1,1,0,62,1,1
36,2026-03-13 09:10:00,user_02,11,transactions,SELECT,1,0,1,0,16,0,0
31,2026-03-13 10:38:00,user_02,6,hr_data,SELECT,53,0,0,0,13,0,0
47,2026-03-13 13:53:00,user_02,22,orders,SELECT,120,0,0,0,18,0,0
26,2026-03-13 14:15:00,user_02,1,salary,SELECT,59,0,1,0,21,0,0
37,2026-03-13 15:31:00,user_02,12,salary,SELECT,49,0,1,0,11,0,0
49,2026-03-13 21:33:00,user_02,24,customers,SELECT,79,1,0,0,11,0,0
40,2026-03-13 23:30:00,user_02,15,customers,SELECT,360,1,1,0,39,1,1
43,2026-03-14 08:51:00,user_02,18,inventory,SELECT,72,0,0,0,14,0,0
30,2026-03-15 05:34:00,user_02,5,customers,SELECT,112,1,0,0,12,0,0
52,2026-03-01 10:10:00,user_03,1,hr_data,SELECT,74,0,0,0,12,0,0
77,2026-03-02 06:47:00,user_03,26,transactions,SELECT,85,1,1,0,22,0,0
72,2026-03-02 09:04:00,user_03,21,customers,SELECT,75,0,0,1,3,0,0
63,2026-03-03 00:37:00,user_03,12,customers,SELECT,35,1,0,1,3,0,0
64,2026-03-03 15:36:00,user_03,13,customers,SELECT,97,0,0,0,6,0,0
78,2026-03-03 17:08:00,user_03,27,orders,SELECT,113,0,0,0,10,0,0
68,2026-03-03 17:34:00,user_03,17,hr_data,SELECT,409,1,1,1,60,1,1
76,2026-03-04 17:52:00,user_03,25,orders,SELECT,77,0,0,0,8,0,0
75,2026-03-04 18:24:00,user_03,24,inventory,UPDATE,18,0,0,0,3,0,0
79,2026-03-04 21:24:00,user_03,28,hr_data,SELECT,55,1,0,0,10,0,0
69,2026-03-04 21:53:00,user_03,18,orders,SELECT,51,1,0,0,10,0,0
66,2026-03-04 23:09:00,user_03,15,orders,SELECT,17,1,0,0,6,0,0
80,2026-03-05 09:41:00,user_03,29,transactions,SELECT,72,0,1,0,3,0,0
70,2026-03-06 00:11:00,user_03,19,finance,UPDATE,51,1,1,0,10,0,0
55,2026-03-06 07:53:00,user_03,4,hr_data,SELECT,112,1,0,0,3,0,0
82,2026-03-07 00:31:00,user_03,31,orders,SELECT,339,1,1,1,55,1,1
71,2026-03-07 02:08:00,user_03,20,hr_data,UPDATE,733,1,1,0,42,1,1
61,2026-03-07 07:24:00,user_03,10,customers,SELECT,100,1,0,0,8,0,0
73,2026-03-07 08:03:00,user_03,22,customers,SELECT,69,0,0,0,2,0,0
56,2026-03-08 12:16:00,user_03,5,customers,SELECT,75,0,0,0,8,0,0
81,2026-03-08 22:25:00,user_03,30,salary,SELECT,148,1,1,0,1,0,0
65,2026-03-09 07:36:00,user_03,14,transactions,UPDATE,67,1,1,0,12,0,0
62,2026-03-10 09:09:00,user_03,11,customers,SELECT,36,0,0,0,7,0,0
60,2026-03-10 21:57:00,user_03,9,finance,SELECT,40,1,1,0,2,0,0
53,2026-03-11 17:29:00,user_03,2,orders,SELECT,55,0,0,0,6,0,0
67,2026-03-13 09:52:00,user_03,16,customers,UPDATE,29,0,0,0,8,0,0
57,2026-03-13 11:03:00,user_03,6,customers,INSERT,490,1,1,0,29,1,1
54,2026-03-14 00:31:00,user_03,3,finance,SELECT,76,1,1,0,10,0,0
74,2026-03-14 03:19:00,user_03,23,customers,SELECT,97,1,0,0,11,0,0
59,2026-03-14 08:07:00,user_03,8,customers,SELECT,25,0,0,0,9,0,0
58,2026-03-14 21:58:00,user_03,7,customers,UPDATE,73,1,0,0,2,0,0
97,2026-03-01 09:13:00,user_04,15,orders,SELECT,90,0,0,0,17,0,0
84,2026-03-01 21:55:00,user_04,2,finance,SELECT,62,1,1,0,10,0,0
87,2026-03-02 00:04:00,user_04,5,customers,INSERT,72,1,0,0,1,0,0
85,2026-03-02 22:54:00,user_04,3,hr_data,SELECT,171,1,0,0,15,0,0
106,2026-03-03 19:12:00,user_04,24,salary,SELECT,121,0,1,0,13,0,0
108,2026-03-04 03:16:00,user_04,26,inventory,UPDATE,107,1,0,0,5,0,0
100,2026-03-05 05:40:00,user_04,18,finance,SELECT,91,1,1,0,10,0,0
96,2026-03-05 08:02:00,user_04,14,finance,SELECT,72,0,1,0,8,0,0
92,2026-03-05 20:36:00,user_04,10,orders,SELECT,62,1,0,0,2,0,0
99,2026-03-06 05:42:00,user_04,17,inventory,SELECT,80,1,0,0,8,0,0
105,2026-03-06 22:14:00,user_04,23,customers,SELECT,67,1,0,0,11,0,0
90,2026-03-07 04:06:00,user_04,8,customers,SELECT,121,1,0,0,13,0,0
88,2026-03-07 09:58:00,user_04,6,customers,SELECT,105,0,0,0,11,0,0
114,2026-03-07 21:02:00,user_04,32,customers,SELECT,79,1,0,0,11,0,0
94,2026-03-08 09:54:00,user_04,12,finance,SELECT,1,0,1,0,3,0,0
102,2026-03-08 10:31:00,user_04,20,customers,SELECT,550,1,1,1,55,1,1
89,2026-03-08 12:18:00,user_04,7,orders,INSERT,890,1,1,0,37,1,1
93,2026-03-08 21:19:00,user_04,11,finance,SELECT,607,1,1,0,57,1,1
101,2026-03-09 00:03:00,user_04,19,customers,INSERT,66,1,0,0,16,0,0
83,2026-03-09 07:57:00,user_04,1,orders,SELECT,56,1,0,0,6,0,0
86,2026-03-10 11:16:00,user_04,4,finance,UPDATE,17,0,1,0,8,0,0
112,2026-03-11 14:47:00,user_04,30,orders,SELECT,73,0,0,0,9,0,0
107,2026-03-13 03:52:00,user_04,25,inventory,SELECT,116,1,0,0,10,0,0
113,2026-03-13 05:41:00,user_04,31,inventory,SELECT,133,1,0,0,8,0,0
91,2026-03-13 15:03:00,user_04,9,finance,DELETE,162,0,1,0,12,0,0
111,2026-03-13 20:12:00,user_04,29,orders,SELECT,80,1,0,0,12,0,0
95,2026-03-13 23:46:00,user_04,13,customers,SELECT,18,1,0,0,2,0,0
109,2026-03-14 02:14:00,user_04,27,inventory,INSERT,87,1,0,0,8,0,0
104,2026-03-14 11:23:00,user_04,22,customers,SELECT,118,0,0,0,6,0,0
98,2026-03-15 04:19:00,user_04,16,finance,SELECT,53,1,1,0,9,0,0
103,2026-03-15 06:50:00,user_04,21,transactions,SELECT,97,1,1,0,5,0,0
110,2026-03-15 07:35:00,user_04,28,transactions,UPDATE,64,1,1,0,12,0,0
119,2026-03-01 12:13:00,user_05,5,hr_data,SELECT,69,0,0,0,3,0,0
118,2026-03-01 19:40:00,user_05,4,transactions,SELECT,96,0,1,0,9,0,0
131,2026-03-01 20:07:00,user_05,17,finance,SELECT,57,1,1,1,8,0,0
125,2026-03-01 23:48:00,user_05,11,customers,SELECT,19,1,0,0,1,0,0
130,2026-03-02 06:59:00,user_05,16,salary,DELETE,66,1,1,0,8,0,0
132,2026-03-03 23:28:00,user_05,18,inventory,SELECT,77,1,0,0,7,0,0
134,2026-03-03 23:33:00,user_05,20,salary,SELECT,120,1,1,0,10,0,0
123,2026-03-05 03:08:00,user_05,9,transactions,DELETE,78,1,1,0,4,0,0
126,2026-03-05 12:14:00,user_05,12,customers,SELECT,46,0,0,0,12,0,0
117,2026-03-06 01:57:00,user_05,3,transactions,SELECT,34,1,1,0,2,0,0
121,2026-03-06 09:26:00,user_05,7,inventory,SELECT,41,0,0,0,5,0,0
115,2026-03-06 15:17:00,user_05,1,orders,SELECT,81,0,0,1,6,0,0
141,2026-03-07 12:30:00,user_05,27,finance,DELETE,111,0,1,1,5,0,0
137,2026-03-08 05:42:00,user_05,23,transactions,SELECT,879,1,1,0,27,1,1
127,2026-03-08 19:30:00,user_05,13,orders,UPDATE,80,0,0,0,12,0,0
138,2026-03-09 06:37:00,user_05,24,inventory,SELECT,649,1,1,1,25,1,1
129,2026-03-09 08:07:00,user_05,15,customers,SELECT,114,0,0,0,10,0,0
133,2026-03-09 18:27:00,user_05,19,customers,SELECT,86,0,0,0,7,0,0
136,2026-03-09 21:58:00,user_05,22,orders,SELECT,548,1,1,0,31,1,1
122,2026-03-10 05:22:00,user_05,8,orders,SELECT,91,1,0,0,12,0,0
116,2026-03-10 19:34:00,user_05,2,orders,SELECT,136,0,0,0,11,0,0
120,2026-03-10 21:50:00,user_05,6,inventory,SELECT,1,1,0,0,14,0,0
139,2026-03-10 22:24:00,user_05,25,transactions,SELECT,38,1,1,0,8,0,0
128,2026-03-10 23:13:00,user_05,14,orders,SELECT,852,1,1,0,28,1,1
140,2026-03-11 20:04:00,user_05,26,salary,SELECT,95,1,1,0,12,0,0
124,2026-03-13 12:42:00,user_05,10,customers,SELECT,89,0,0,0,10,0,0
135,2026-03-14 13:02:00,user_05,21,customers,SELECT,112,0,0,0,14,0,0
161,2026-03-02 13:03:00,user_06,20,orders,UPDATE,366,1,1,0,50,1,1
159,2026-03-04 05:57:00,user_06,18,finance,SELECT,312,1,1,1,61,1,1
158,2026-03-04 06:07:00,user_06,17,orders,INSERT,59,1,0,0,10,0,0
173,2026-03-05 21:02:00,user_06,32,orders,SELECT,62,1,0,0,11,0,0
168,2026-03-06 04:14:00,user_06,27,orders,SELECT,93,1,0,0,13,0,0
157,2026-03-06 13:14:00,user_06,16,orders,SELECT,153,0,0,0,12,0,0
153,2026-03-07 02:17:00,user_06,12,customers,SELECT,103,1,0,0,9,0,0
172,2026-03-07 09:28:00,user_06,31,salary,SELECT,84,0,1,0,11,0,0
174,2026-03-07 10:04:00,user_06,33,transactions,SELECT,112,0,1,0,10,0,0
142,2026-03-07 11:34:00,user_06,1,orders,SELECT,129,0,0,0,6,0,0
143,2026-03-07 17:19:00,user_06,2,transactions,SELECT,114,0,1,0,15,0,0
171,2026-03-07 19:24:00,user_06,30,salary,SELECT,139,0,1,0,12,0,0
160,2026-03-07 20:17:00,user_06,19,inventory,SELECT,114,1,0,0,10,0,0
163,2026-03-08 06:56:00,user_06,22,customers,SELECT,100,1,0,0,7,0,0
175,2026-03-08 08:59:00,user_06,34,inventory,UPDATE,96,0,0,0,6,0,0
145,2026-03-08 18:30:00,user_06,4,customers,SELECT,119,0,0,0,11,0,0
146,2026-03-09 02:52:00,user_06,5,orders,SELECT,108,1,0,0,4,0,0
150,2026-03-10 13:51:00,user_06,9,finance,SELECT,160,0,1,0,11,0,0
164,2026-03-10 20:17:00,user_06,23,finance,SELECT,68,1,1,0,10,0,0
151,2026-03-12 03:27:00,user_06,10,inventory,SELECT,154,1,0,0,11,0,0
155,2026-03-12 09:26:00,user_06,14,orders,SELECT,150,0,0,0,10,0,0
149,2026-03-12 13:03:00,user_06,8,orders,SELECT,127,0,0,0,19,0,0
162,2026-03-12 13:33:00,user_06,21,customers,SELECT,452,1,1,0,61,1,1
165,2026-03-13 06:23:00,user_06,24,orders,DELETE,187,1,0,0,11,0,0
154,2026-03-13 13:39:00,user_06,13,hr_data,SELECT,156,0,0,0,3,0,0
152,2026-03-13 21:35:00,user_06,11,orders,SELECT,141,1,0,0,16,0,0
169,2026-03-13 22:27:00,user_06,28,customers,SELECT,109,1,0,0,1,0,0
148,2026-03-14 00:12:00,user_06,7,salary,SELECT,65,1,1,0,16,0,0
147,2026-03-14 00:32:00,user_06,6,customers,DELETE,716,1,1,1,56,1,1
166,2026-03-14 18:24:00,user_06,25,hr_data,SELECT,137,0,0,0,15,0,0
170,2026-03-14 21:18:00,user_06,29,inventory,SELECT,97,1,0,0,2,0,0
156,2026-03-14 22:55:00,user_06,15,orders,SELECT,171,1,0,0,11,0,0
167,2026-03-15 05:56:00,user_06,26,hr_data,SELECT,115,1,0,0,10,0,0
144,2026-03-15 06:19:00,user_06,3,finance,SELECT,115,1,1,0,10,0,0
204,2026-03-02 08:50:00,user_07,29,orders,SELECT,50,0,0,0,4,0,0
194,2026-03-04 01:09:00,user_07,19,finance,SELECT,151,1,1,0,3,0,0
206,2026-03-04 20:04:00,user_07,31,inventory,SELECT,145,1,0,0,1,0,0
184,2026-03-05 00:49:00,user_07,9,orders,SELECT,28,1,0,1,8,0,0
193,2026-03-06 11:42:00,user_07,18,hr_data,DELETE,110,0,0,0,4,0,0
203,2026-03-06 19:25:00,user_07,28,inventory,SELECT,107,0,0,0,11,0,0
192,2026-03-06 19:41:00,user_07,17,salary,SELECT,717,1,1,0,30,1,1
180,2026-03-07 12:11:00,user_07,5,inventory,SELECT,164,0,0,0,1,0,0
198,2026-03-07 15:52:00,user_07,23,salary,UPDATE,119,0,1,0,5,0,0
195,2026-03-08 00:23:00,user_07,20,inventory,SELECT,154,1,0,0,9,0,0
176,2026-03-08 07:04:00,user_07,1,finance,DELETE,123,1,1,0,9,0,0
186,2026-03-08 12:46:00,user_07,11,orders,SELECT,124,0,0,0,7,0,0
178,2026-03-08 17:01:00,user_07,3,finance,SELECT,199,0,1,0,10,0,0
205,2026-03-10 01:12:00,user_07,30,orders,SELECT,60,1,0,0,6,0,0
185,2026-03-10 11:42:00,user_07,10,transactions,SELECT,107,0,1,1,2,0,0
201,2026-03-11 12:52:00,user_07,26,inventory,SELECT,135,0,0,0,10,0,0
188,2026-03-11 21:18:00,user_07,13,orders,SELECT,187,1,0,0,12,0,0
183,2026-03-12 01:41:00,user_07,8,orders,SELECT,95,1,0,0,2,0,0
196,2026-03-12 02:53:00,user_07,21,customers,SELECT,29,1,0,0,2,0,0
191,2026-03-12 09:43:00,user_07,16,customers,INSERT,125,0,0,0,2,0,0
177,2026-03-12 14:40:00,user_07,2,orders,SELECT,115,0,0,0,11,0,0
189,2026-03-12 17:14:00,user_07,14,finance,SELECT,92,0,1,0,8,0,0
199,2026-03-12 22:17:00,user_07,24,orders,SELECT,111,1,0,0,6,0,0
187,2026-03-13 02:02:00,user_07,12,transactions,SELECT,133,1,1,0,2,0,0
181,2026-03-13 04:25:00,user_07,6,finance,DELETE,67,1,1,0,8,0,0
202,2026-03-13 17:47:00,user_07,27,orders,DELETE,146,0,0,0,4,0,0
190,2026-03-13 20:56:00,user_07,15,customers,SELECT,125,1,0,0,1,0,0
179,2026-03-14 11:08:00,user_07,4,inventory,SELECT,79,0,0,0,5,0,0
182,2026-03-14 16:40:00,user_07,7,orders,UPDATE,99,0,0,0,3,0,0
200,2026-03-14 17:32:00,user_07,25,inventory,SELECT,98,0,0,0,4,0,0
207,2026-03-14 19:19:00,user_07,32,orders,SELECT,85,0,0,0,7,0,0
197,2026-03-15 00:20:00,user_07,22,inventory,UPDATE,121,1,0,0,6,0,0
208,2026-03-01 17:22:00,user_08,1,salary,SELECT,20,0,1,0,17,0,0
215,2026-03-02 10:07:00,user_08,8,orders,SELECT,98,0,0,0,9,0,0
226,2026-03-02 11:47:00,user_08,19,hr_data,SELECT,160,0,0,0,15,0,0
213,2026-03-03 10:21:00,user_08,6,orders,SELECT,108,0,0,0,10,0,0
214,2026-03-03 15:53:00,user_08,7,orders,SELECT,117,0,0,0,11,0,0
231,2026-03-04 08:46:00,user_08,24,customers,SELECT,63,0,0,0,11,0,0
229,2026-03-04 11:41:00,user_08,22,finance,DELETE,26,0,1,0,7,0,0
209,2026-03-04 21:18:00,user_08,2,customers,SELECT,89,1,0,0,17,0,0
232,2026-03-05 08:55:00,user_08,25,customers,SELECT,100,0,0,0,12,0,0
217,2026-03-05 11:20:00,user_08,10,customers,SELECT,44,0,0,0,8,0,0
228,2026-03-06 08:36:00,user_08,21,finance,SELECT,101,0,1,0,3,0,0
236,2026-03-06 12:12:00,user_08,29,transactions,SELECT,162,0,1,0,13,0,0
218,2026-03-06 20:31:00,user_08,11,inventory,SELECT,77,1,0,0,16,0,0
219,2026-03-07 03:42:00,user_08,12,inventory,SELECT,94,1,0,0,12,0,0
234,2026-03-07 05:20:00,user_08,27,hr_data,DELETE,36,1,0,1,15,0,0
227,2026-03-07 21:18:00,user_08,20,salary,SELECT,66,1,1,0,11,0,0
235,2026-03-08 02:11:00,user_08,28,salary,SELECT,377,1,1,1,34,1,1
230,2026-03-08 09:43:00,user_08,23,salary,SELECT,19,0,1,0,11,0,0
224,2026-03-09 13:02:00,user_08,17,inventory,INSERT,78,0,0,0,13,0,0
233,2026-03-09 16:48:00,user_08,26,inventory,DELETE,136,0,0,0,17,0,0
239,2026-03-10 01:05:00,user_08,32,transactions,DELETE,539,1,1,0,55,1,1
223,2026-03-10 03:05:00,user_08,16,transactions,SELECT,137,1,1,0,18,0,0
225,2026-03-10 09:09:00,user_08,18,orders,SELECT,37,0,0,1,12,0,0
210,2026-03-10 10:04:00,user_08,3,finance,UPDATE,78,0,1,0,13,0,0
222,2026-03-11 00:43:00,user_08,15,finance,SELECT,79,1,1,0,14,0,0
216,2026-03-11 04:12:00,user_08,9,customers,SELECT,120,1,0,0,17,0,0
221,2026-03-11 10:14:00,user_08,14,hr_data,INSERT,75,0,0,0,15,0,0
238,2026-03-11 17:22:00,user_08,31,orders,SELECT,161,0,0,0,8,0,0
220,2026-03-11 23:05:00,user_08,13,hr_data,SELECT,78,1,0,0,23,0,0
212,2026-03-12 11:29:00,user_08,5,transactions,SELECT,594,1,1,1,39,1,1
211,2026-03-13 12:25:00,user_08,4,orders,SELECT,33,0,0,0,9,0,0
237,2026-03-14 01:22:00,user_08,30,orders,SELECT,849,1,1,0,32,1,1
262,2026-03-03 01:08:00,user_09,23,transactions,SELECT,1,1,1,0,8,0,0
268,2026-03-03 12:55:00,user_09,29,orders,SELECT,42,0,0,0,14,0,0
255,2026-03-03 21:02:00,user_09,16,finance,SELECT,543,1,1,0,62,1,1
257,2026-03-03 23:04:00,user_09,18,salary,SELECT,68,1,1,1,13,0,0
249,2026-03-04 03:42:00,user_09,10,hr_data,UPDATE,517,1,1,1,66,1,1
272,2026-03-04 03:45:00,user_09,33,orders,UPDATE,80,1,0,0,16,0,0
251,2026-03-04 05:46:00,user_09,12,salary,SELECT,109,1,1,0,6,0,0
263,2026-03-04 05:55:00,user_09,24,orders,SELECT,50,1,0,0,14,0,0
269,2026-03-04 20:21:00,user_09,30,finance,SELECT,387,1,1,0,30,1,1
267,2026-03-06 13:47:00,user_09,28,orders,UPDATE,66,0,0,0,14,0,0
247,2026-03-06 17:56:00,user_09,8,transactions,SELECT,120,0,1,0,9,0,0
254,2026-03-07 16:25:00,user_09,15,transactions,SELECT,556,1,1,0,36,1,1
246,2026-03-07 17:46:00,user_09,7,customers,SELECT,87,0,0,0,15,0,0
241,2026-03-08 06:02:00,user_09,2,finance,SELECT,338,1,1,0,44,1,1
256,2026-03-08 17:49:00,user_09,17,customers,SELECT,731,1,1,0,58,1,1
264,2026-03-08 18:35:00,user_09,25,orders,SELECT,41,0,0,0,8,0,0
240,2026-03-08 20:08:00,user_09,1,hr_data,SELECT,775,1,1,0,69,1,1
253,2026-03-08 20:26:00,user_09,14,salary,SELECT,1,1,1,0,11,0,0
243,2026-03-10 05:15:00,user_09,4,inventory,SELECT,38,1,0,0,11,0,0
245,2026-03-10 19:34:00,user_09,6,finance,UPDATE,50,0,1,0,13,0,0
261,2026-03-11 01:48:00,user_09,22,finance,SELECT,119,1,1,0,20,0,0
270,2026-03-11 04:51:00,user_09,31,customers,SELECT,69,1,0,0,12,0,0
242,2026-03-12 14:02:00,user_09,3,customers,SELECT,95,0,0,0,19,0,0
265,2026-03-12 21:05:00,user_09,26,finance,SELECT,109,1,1,0,10,0,0
258,2026-03-13 01:17:00,user_09,19,inventory,SELECT,17,1,0,0,14,0,0
260,2026-03-13 05:46:00,user_09,21,orders,SELECT,790,1,1,0,50,1,1
244,2026-03-13 16:01:00,user_09,5,orders,SELECT,44,0,0,0,15,0,0
248,2026-03-13 18:21:00,user_09,9,hr_data,SELECT,582,1,1,0,37,1,1
266,2026-03-13 22:06:00,user_09,27,salary,SELECT,29,1,1,0,24,0,0
252,2026-03-13 23:40:00,user_09,13,customers,SELECT,18,1,0,0,21,0,0
271,2026-03-14 00:51:00,user_09,32,customers,INSERT,41,1,0,0,21,0,0
250,2026-03-14 23:07:00,user_09,11,hr_data,SELECT,44,1,0,0,18,0,0
259,2026-03-15 08:55:00,user_09,20,customers,SELECT,69,0,0,0,10,0,0
292,2026-03-01 19:14:00,user_10,20,inventory,SELECT,78,0,0,0,1,0,0
284,2026-03-02 12:10:00,user_10,12,finance,SELECT,121,0,1,0,3,0,0
288,2026-03-02 14:55:00,user_10,16,customers,SELECT,138,0,0,0,5,0,0
298,2026-03-03 02:42:00,user_10,26,inventory,SELECT,91,1,0,0,2,0,0
281,2026-03-03 11:06:00,user_10,9,salary,SELECT,153,0,1,0,4,0,0
275,2026-03-03 23:44:00,user_10,3,salary,SELECT,142,1,1,0,7,0,0
294,2026-03-03 23:54:00,user_10,22,orders,INSERT,76,1,0,0,7,0,0
289,2026-03-04 11:56:00,user_10,17,salary,SELECT,809,1,1,1,52,1,1
300,2026-03-04 17:39:00,user_10,28,customers,SELECT,163,0,0,0,2,0,0
274,2026-03-04 21:30:00,user_10,2,finance,SELECT,869,1,1,1,48,1,1
290,2026-03-05 08:57:00,user_10,18,customers,SELECT,98,0,0,0,10,0,0
278,2026-03-07 11:03:00,user_10,6,customers,SELECT,129,0,0,0,5,0,0
297,2026-03-08 10:27:00,user_10,25,salary,SELECT,154,0,1,0,11,0,0
279,2026-03-09 02:35:00,user_10,7,orders,SELECT,142,1,0,0,5,0,0
282,2026-03-09 03:10:00,user_10,10,customers,SELECT,146,1,0,0,2,0,0
299,2026-03-09 07:48:00,user_10,27,orders,INSERT,133,1,0,0,2,0,0
280,2026-03-10 11:52:00,user_10,8,customers,SELECT,76,0,0,0,9,0,0
293,2026-03-11 03:26:00,user_10,21,inventory,SELECT,112,1,0,0,5,0,0
296,2026-03-11 06:56:00,user_10,24,inventory,SELECT,74,1,0,1,6,0,0
295,2026-03-11 20:16:00,user_10,23,transactions,DELETE,408,1,1,0,40,1,1
285,2026-03-12 10:14:00,user_10,13,finance,SELECT,104,0,1,0,5,0,0
286,2026-03-13 00:48:00,user_10,14,customers,SELECT,164,1,0,0,5,0,0
277,2026-03-14 01:03:00,user_10,5,customers,DELETE,60,1,0,1,4,0,0
291,2026-03-14 02:08:00,user_10,19,transactions,UPDATE,343,1,1,0,52,1,1
276,2026-03-14 03:21:00,user_10,4,hr_data,UPDATE,143,1,0,0,6,0,0
283,2026-03-14 06:58:00,user_10,11,inventory,UPDATE,64,1,0,0,7,0,0
287,2026-03-14 20:55:00,user_10,15,inventory,SELECT,704,1,1,0,63,1,1
273,2026-03-15 00:54:00,user_10,1,orders,SELECT,135,1,0,0,1,0,0
301,2026-03-15 01:59:00,user_10,29,customers,SELECT,805,1,1,0,54,1,1
321,2026-03-01 18:57:00,user_11,20,orders,SELECT,150,0,0,0,14,0,0
309,2026-03-02 18:47:00,user_11,8,inventory,UPDATE,114,0,0,0,18,0,0
305,2026-03-03 01:31:00,user_11,4,orders,SELECT,593,1,1,0,29,1,1
310,2026-03-03 07:03:00,user_11,9,inventory,SELECT,74,1,0,0,15,0,0
306,2026-03-03 10:18:00,user_11,5,finance,SELECT,130,0,1,0,21,0,0
325,2026-03-04 08:34:00,user_11,24,inventory,SELECT,68,0,0,0,17,0,0
317,2026-03-04 14:14:00,user_11,16,hr_data,SELECT,133,0,0,0,19,0,0
326,2026-03-05 03:24:00,user_11,25,salary,SELECT,112,1,1,0,15,0,0
308,2026-03-05 15:48:00,user_11,7,orders,SELECT,10,0,0,0,10,0,0
332,2026-03-05 22:03:00,user_11,31,transactions,SELECT,154,1,1,0,13,0,0
327,2026-03-06 18:43:00,user_11,26,hr_data,SELECT,127,0,0,0,5,0,0
315,2026-03-07 20:10:00,user_11,14,orders,UPDATE,126,1,0,0,14,0,0
323,2026-03-08 02:32:00,user_11,22,transactions,SELECT,138,1,1,0,15,0,0
304,2026-03-08 06:22:00,user_11,3,salary,SELECT,151,1,1,0,18,0,0
303,2026-03-08 13:39:00,user_11,2,customers,SELECT,110,0,0,0,12,0,0
319,2026-03-08 20:23:00,user_11,18,transactions,SELECT,158,1,1,0,8,0,0
